year,predators,preys
0,600,2500
1,725,2982
2,793,3415
3,813,2568
4,815,2821
5,727,3164
6,629,2323
7,512,2521
8,442,2870
9,372,3378
10,306,2656
11,243,3140
12,203,2512
13,167,2974
14,137,3643
15,104,2970
16,84,3584
17,60,2894
18,50,3533
19,42,2874
20,35,3540
21,32,2876
22,21,3471
23,17,2804
24,17,3396
25,14,2801
26,8,3375
27,7,2717
28,5,3291
29,6,2668
30,8,3261
31,6,2642
32,7,3200
33,5,2590
34,3,3127
35,4,2517
36,4,3042
37,4,2493
38,3,3007
39,4,2465
40,4,2972
41,4,3649
42,3,3029
43,2,2443
44,2,2968
45,1,3618
46,1,2963
47,2,3681
48,1,3008
49,1,2403
50,2,2860
51,3,3530
52,3,2925
53,3,3555
54,4,2878
55,4,3502
56,4,2837
57,3,3448
58,2,2855
59,3,3474
60,3,2824
61,3,3410
62,4,2756
63,3,3356
64,1,2735
65,1,3321
66,1,2654
67,1,3199
68,0,2645
69,0,3180
70,0,2584
71,0,3144
72,0,2533
73,0,3063
74,0,2473
75,0,3020
76,0,2498
77,0,3040
78,0,2480
79,0,2999
80,0,3703
81,0,3083
82,0,2533
83,0,3067
84,0,2449
85,0,2916
86,0,3578
87,0,2912
88,0,3531
89,0,2964
90,0,3661
91,0,3034
92,0,2397
93,0,2863
94,0,3426
95,0,2799
96,0,3411
97,0,2797
98,0,3407
99,0,2825
100,0,3428
101,0,2829
102,0,3377
103,0,2753
104,0,3312
105,0,2658
106,0,3205
107,0,2613
108,0,3171
109,0,2536
110,0,3066
111,0,2479
112,0,3016
113,0,2487
114,0,3030
115,0,2500
116,0,3036
117,0,2477
118,0,2985
119,0,3665
120,0,3058
121,0,2499
122,0,3037
123,0,2434
124,0,2961
125,0,3627
126,0,3001
127,0,2413
128,0,2880
129,0,3552
130,0,2937
131,0,3563
132,0,2910
133,0,3507
134,0,2896
135,0,3521
136,0,2876
137,0,3458
138,0,2794
139,0,3416
140,0,2741
141,0,3332
142,0,2692
143,0,3232
144,0,2688
145,0,3280
146,0,2686
147,0,3278
148,0,2682
149,0,3262
150,0,2650
151,0,3209
152,0,2608
153,0,3200
154,0,2622
155,0,3162
156,0,2565
157,0,3154
158,0,2578
159,0,3098
160,0,2533
161,0,3093
162,0,2543
163,0,3064
164,0,2505
165,0,3055
166,0,2530
167,0,3091
168,0,2513
169,0,3041
170,0,2501
171,0,3024
172,0,2488
173,0,2982
174,0,3672
175,0,3048
176,0,2499
177,0,3003
178,0,2465
179,0,2938
180,0,3629
181,0,3007
182,0,2442
183,0,2884
184,0,3574
185,0,2983
186,0,3646
187,0,2963
188,0,3625
189,0,2943
190,0,3610
191,0,2977
192,0,3580
193,0,2924
194,0,3556
195,0,2900
196,0,3540
197,0,2904
198,0,3528
199,0,2906
200,0,3481
201,0,2869
202,0,3464
203,0,2846
204,0,3503
205,0,2835
206,0,3399
207,0,2742
208,0,3316
209,0,2707
210,0,3300
211,0,2677
212,0,3267
213,0,2696
214,0,3268
215,0,2650
216,0,3232
217,0,2647
218,0,3210
219,0,2614
220,0,3178
221,0,2604
222,0,3187
223,0,2607
224,0,3172
225,0,2553
226,0,3092
227,0,2550
228,0,3139
229,0,2562
230,0,3136
231,0,2556
232,0,3107
233,0,2519
234,0,3039
235,0,2501
236,0,3027
237,0,2493
238,0,3054
239,0,2490
240,0,2994
241,0,3657
242,0,3016
243,0,2452
244,0,2949
245,0,3589
246,0,2969
247,0,3645
248,0,3004
249,0,2365
250,0,2831
251,0,3464
252,0,2856
253,0,3461
254,0,2819
255,0,3424
256,0,2869
257,0,3519
258,0,2929
259,0,3534
260,0,2897
261,0,3513
262,0,2875
263,0,3504
264,0,2877
265,0,3471
266,0,2803
267,0,3371
268,0,2795
269,0,3381
270,0,2758
271,0,3371
272,0,2751
273,0,3342
274,0,2689
275,0,3274
276,0,2671
277,0,3257
278,0,2673
279,0,3239
280,0,2626
281,0,3192
282,0,2585
283,0,3127
284,0,2531
285,0,3045
286,0,2467
287,0,3005
288,0,2406
289,0,2918
290,0,3582
291,0,2971
292,0,3643
293,0,3011
294,0,2457
295,0,2951
296,0,3576
