year,predators,preys
0,600,2500
1,758,2842
2,852,3070
3,919,2059
4,962,1925
5,917,1750
6,869,1568
7,791,1379
8,698,1214
9,620,1114
10,539,971
11,462,905
12,425,853
13,385,806
14,333,784
15,288,797
16,243,813
17,217,893
18,203,992
19,169,1115
20,150,1294
21,126,1554
22,111,1896
23,96,2316
24,92,2875
25,77,3613
26,63,3024
27,62,2508
28,56,3006
29,46,2452
30,40,2926
31,36,3525
32,39,2880
33,36,3462
34,33,2827
35,28,3476
36,21,2846
37,19,3431
38,14,2799
39,12,3366
40,11,2724
41,11,3263
42,7,2641
43,7,3226
44,6,2619
45,6,3173
46,7,2566
47,9,3090
48,11,2552
49,12,3060
50,11,2482
51,6,2994
52,6,3686
53,5,3088
54,4,2498
55,4,3004
56,3,2433
57,3,2924
58,3,3602
59,1,2946
60,2,3581
61,1,2969
62,1,3690
63,2,3061
64,3,2490
65,2,2920
66,1,3550
67,1,2850
68,1,3441
69,1,2826
70,1,3439
71,0,2855
72,0,3534
73,0,2911
74,0,3494
75,0,2851
76,0,3455
77,0,2871
78,0,3496
79,0,2873
80,0,3518
81,0,2862
82,0,3475
83,0,2835
84,0,3418
85,0,2843
86,0,3451
87,0,2801
88,0,3430
89,0,2834
90,0,3391
91,0,2746
92,0,3307
93,0,2697
94,0,3287
95,0,2654
96,0,3224
97,0,2617
98,0,3135
99,0,2599
100,0,3164
101,0,2597
102,0,3154
103,0,2556
104,0,3088
105,0,2547
106,0,3054
107,0,2526
108,0,3058
109,0,2503
110,0,3020
111,0,2435
112,0,2933
113,0,3604
114,0,2985
115,0,3650
116,0,3020
117,0,2466
118,0,2971
119,0,3618
120,0,2983
121,0,3632
122,0,2977
123,0,3621
124,0,3009
125,0,2445
126,0,2932
127,0,3548
128,0,2887
129,0,3506
130,0,2898
131,0,3512
132,0,2875
133,0,3521
134,0,2860
135,0,3476
136,0,2817
137,0,3411
138,0,2762
139,0,3359
140,0,2735
141,0,3357
142,0,2742
143,0,3321
144,0,2718
145,0,3275
146,0,2683
147,0,3263
148,0,2697
149,0,3290
150,0,2703
151,0,3281
152,0,2676
153,0,3250
154,0,2707
155,0,3259
156,0,2665
157,0,3247
158,0,2702
159,0,3275
160,0,2721
161,0,3275
162,0,2664
163,0,3249
164,0,2637
165,0,3170
166,0,2609
167,0,3154
168,0,2561
169,0,3101
170,0,2544
171,0,3056
172,0,2494
173,0,3011
174,0,2486
175,0,3004
176,0,2431
177,0,2942
178,0,3640
179,0,2997
180,0,3673
181,0,3008
182,0,2397
183,0,2875
184,0,3499
185,0,2891
186,0,3532
187,0,2864
188,0,3478
189,0,2868
190,0,3510
191,0,2911
192,0,3529
193,0,2883
194,0,3507
195,0,2858
196,0,3460
197,0,2840
198,0,3406
199,0,2801
200,0,3396
201,0,2788
202,0,3364
203,0,2766
204,0,3332
205,0,2738
206,0,3339
207,0,2728
208,0,3296
209,0,2721
210,0,3278
211,0,2706
212,0,3325
213,0,2747
214,0,3305
215,0,2690
216,0,3208
217,0,2643
218,0,3174
219,0,2601
220,0,3129
221,0,2559
222,0,3093
223,0,2509
224,0,3040
225,0,2459
226,0,2980
227,0,3671
228,0,3062
229,0,2488
230,0,2995
231,0,3681
232,0,3048
233,0,2421
234,0,2905
235,0,3442
236,0,2840
237,0,3452
238,0,2833
239,0,3472
240,0,2856
241,0,3452
242,0,2827
243,0,3425
244,0,2779
245,0,3372
246,0,2736
247,0,3291
248,0,2680
249,0,3241
250,0,2645
251,0,3228
252,0,2639
253,0,3182
254,0,2604
255,0,3138
256,0,2578
257,0,3115
258,0,2555
259,0,3114
260,0,2548
261,0,3122
262,0,2551
263,0,3075
264,0,2510
265,0,3093
266,0,2521
267,0,3103
268,0,2527
269,0,3112
270,0,2552
271,0,3076
272,0,2501
273,0,3018
274,0,2467
275,0,2995
276,0,3720
277,0,3058
278,0,2513
279,0,3071
280,0,2504
281,0,3025
282,0,2419
283,0,2894
284,0,3540
285,0,2929
286,0,3607
287,0,3062
288,0,2503
289,0,3018
290,0,2424
291,0,2866
292,0,3468
293,0,2859
294,0,3481
295,0,2882
296,0,3542
297,0,2912
298,0,3494
299,0,2880
300,0,3426
301,0,2807
302,0,3436
303,0,2820
304,0,3425
305,0,2769
306,0,3356
307,0,2732
308,0,3280
309,0,2622
310,0,3214
311,0,2661
312,0,3223
313,0,2628
314,0,3156
315,0,2568
316,0,3147
317,0,2578
318,0,3094
319,0,2534
320,0,3049
321,0,2470
322,0,2997
323,0,3643
324,0,3016
325,0,2439
326,0,2932
327,0,3595
328,0,2954
329,0,3646
330,0,3024
331,0,2397
332,0,2860
333,0,3498
334,0,2898
335,0,3556
336,0,2939
337,0,3569
338,0,2931
339,0,3563
340,0,2914
341,0,3516
342,0,2859
343,0,3439
344,0,2780
345,0,3394
346,0,2755
347,0,3345
348,0,2753
349,0,3319
350,0,2690
351,0,3269
352,0,2649
353,0,3226
354,0,2612
355,0,3167
356,0,2584
357,0,3102
358,0,2512
359,0,3063
360,0,2528
361,0,3042
362,0,2459
363,0,2984
364,0,3661
365,0,2994
366,0,3646
367,0,3025
368,0,2484
369,0,2984
370,0,3628
371,0,2973
372,0,3622
373,0,2921
374,0,3530
375,0,2919
376,0,3598
377,0,2952
378,0,3553
379,0,2856
380,0,3481
381,0,2861
382,0,3447
383,0,2832
384,0,3398
385,0,2782
386,0,3390
387,0,2796
388,0,3399
389,0,2782
390,0,3334
391,0,2740
392,0,3315
393,0,2701
394,0,3267
395,0,2683
396,0,3236
397,0,2637
398,0,3195
399,0,2621
400,0,3157
401,0,2537
402,0,3080
403,0,2524
404,0,3059
405,0,2496
406,0,2995
407,0,3688
408,0,3094
409,0,2516
410,0,2984
411,0,3689
412,0,3030
413,0,2460
414,0,2938
415,0,3589
416,0,2942
417,0,3645
418,0,3002
419,0,2398
420,0,2852
421,0,3469
422,0,2861
423,0,3473
424,0,2853
425,0,3448
426,0,2806
427,0,3420
428,0,2842
429,0,3448
430,0,2769
431,0,3362
432,0,2764
433,0,3376
434,0,2741
435,0,3338
436,0,2729
437,0,3339
438,0,2710
439,0,3315
440,0,2686
441,0,3281
442,0,2677
443,0,3245
444,0,2651
445,0,3202
446,0,2594
447,0,3127
448,0,2532
449,0,3064
450,0,2472
451,0,3003
452,0,2454
453,0,2981
454,0,3717
455,0,3075
456,0,2506
457,0,3008
458,0,2404
459,0,2899
460,0,3576
461,0,2967
462,0,3634
463,0,3021
464,0,2486
465,0,3012
466,0,2415
467,0,2886
468,0,3522
469,0,2828
470,0,3427
471,0,2842
472,0,3514
473,0,2945
474,0,3599
475,0,2953
476,0,3576
477,0,2897
478,0,3534
479,0,2911
480,0,3504
481,0,2869
482,0,3472
483,0,2841
484,0,3472
485,0,2813
486,0,3347
487,0,2735
488,0,3322
489,0,2685
490,0,3267
491,0,2676
492,0,3252
493,0,2673
494,0,3276
495,0,2669
496,0,3249
497,0,2644
498,0,3226
499,0,2620
500,0,3184
501,0,2610
502,0,3150
503,0,2592
504,0,3130
505,0,2546
506,0,3115
507,0,2568
508,0,3117
509,0,2541
510,0,3099
511,0,2556
512,0,3049
513,0,2475
514,0,3028
515,0,2480
516,0,3025
517,0,2488
518,0,2950
519,0,3615
520,0,3005
521,0,2470
522,0,2989
523,0,3672
524,0,3037
525,0,2429
526,0,2889
527,0,3482
528,0,2871
529,0,3524
530,0,2885
531,0,3480
532,0,2894
533,0,3535
534,0,2927
535,0,3546
536,0,2865
537,0,3476
538,0,2840
539,0,3486
540,0,2813
541,0,3428
542,0,2760
543,0,3371
544,0,2731
545,0,3318
546,0,2709
547,0,3273
548,0,2672
549,0,3222
550,0,2613
551,0,3129
552,0,2561
553,0,3131
554,0,2561
555,0,3085
556,0,2533
557,0,3096
558,0,2521
559,0,3043
560,0,2483
561,0,3033
562,0,2466
563,0,2973
564,0,3639
565,0,3006
566,0,2468
567,0,2982
568,0,3613
569,0,3005
570,0,2410
571,0,2889
572,0,3500
573,0,2901
574,0,3545
575,0,2927
576,0,3566
577,0,2899
578,0,3526
579,0,2874
580,0,3436
581,0,2756
582,0,3355
583,0,2734
584,0,3329
585,0,2744
586,0,3332
587,0,2720
588,0,3266
589,0,2642
590,0,3236
591,0,2610
592,0,3214
593,0,2621
594,0,3159
595,0,2603
596,0,3158
597,0,2563
598,0,3116
599,0,2500
600,0,3016
601,0,2494
602,0,3028
603,0,2463
604,0,3008
605,0,2440
606,0,2991
607,0,3635
608,0,3005
609,0,2434
610,0,2934
611,0,3625
612,0,3008
613,0,2402
614,0,2895
615,0,3509
616,0,2891
617,0,3566
618,0,2963
619,0,3604
620,0,2915
621,0,3545
622,0,2914
623,0,3522
624,0,2843
625,0,3470
626,0,2854
627,0,3486
628,0,2838
629,0,3421
630,0,2793
631,0,3386
632,0,2766
633,0,3339
634,0,2707
635,0,3304
636,0,2683
637,0,3258
638,0,2666
639,0,3227
640,0,2626
641,0,3184
642,0,2649
643,0,3177
644,0,2591
645,0,3150
646,0,2598
647,0,3158
648,0,2568
649,0,3101
650,0,2550
651,0,3125
652,0,2550
653,0,3060
654,0,2499
655,0,3044
656,0,2521
657,0,3000
658,0,2476
659,0,3035
660,0,2493
661,0,3017
662,0,2414
663,0,2869
664,0,3528
665,0,2939
666,0,3615
667,0,2984
668,0,3661
669,0,3042
670,0,2418
671,0,2881
672,0,3472
673,0,2824
674,0,3434
675,0,2829
676,0,3459
677,0,2824
678,0,3466
679,0,2843
680,0,3461
681,0,2838
682,0,3447
683,0,2835
684,0,3454
685,0,2847
686,0,3460
687,0,2801
688,0,3406
689,0,2761
690,0,3367
691,0,2745
692,0,3276
693,0,2662
694,0,3208
695,0,2596
696,0,3123
697,0,2553
698,0,3133
699,0,2571
700,0,3144
701,0,2581
702,0,3106
703,0,2528
704,0,3059
705,0,2500
706,0,3049
707,0,2465
708,0,2978
709,0,3654
